source	target	weight
97967	2006	0.2966666666666666
97967	2877	22.166666666666668
97967	2554	255.8333333333333
97967	1855	87.16666666666667
97967	3166	0.4183333333333333
97967	2843	0.0471666666666666
97967	3126	0.1226666666666666
97967	1759	0.0002
97967	2113	0.0
97967	1762	0.0
97967	2017	8.416666666666668
97967	2458	0.0381666666666666
97967	2156	0.0349999999999999
97967	1903	0.3366666666666666
97967	1968	0.2766666666666666
97967	2055	0.0595
97967	2863	0.005625
97967	2532	0.0
97967	2660	3.0
97967	3146	17.333333333333332
97967	1764	32.333333333333336
97967	1735	35.333333333333336
97967	3123	20.33333333333333
97967	1881	4.0
97967	3182	14.0
97967	2500	4.0
97967	1805	0.0
97967	2643	4120.0
97967	1999	0.1933333333333333
97967	2748	0.0013666666666666
97957	3033	0.0
97957	2314	0.0
97957	2246	0.0
97957	2228	0.0
97957	3083	0.0
97957	2466	0.165143891
97957	3268	0.8731388803333333
97957	3211	0.310531669
97957	1830	0.9935388673333332
97957	1963	0.076826664
97957	2329	27.65301315
97957	2372	5.564630018999999
97957	1845	100.0
97957	2581	50.0
97957	2534	5.0
97957	2116	2.0
97957	2094	98.24425824133334
97957	2207	10.0
97957	2360	0.0
97957	1710	30.000001907
97957	2635	6.24187994
97957	1851	2.801880121
97957	2583	8.277500153
97957	2492	5.430039883
97957	2969	0.094599999
97957	3149	0.0
97957	3286	0.0
97957	3007	0.0
97957	1889	0.0
97957	2224	0.0
97493	3209	700.0
97493	1837	0.0
97493	1813	0.0
97493	3163	0.0
97493	2113	0.0
97493	1729	0.42
97493	1762	0.0
97493	2781	0.0
97493	1780	0.0
97493	1999	0.0
97493	2748	0.0
97493	2730	0.0
97493	2156	0.13
97493	1903	0.75
97493	2055	0.0
97493	1968	0.0
97493	3257	0.0
97493	2863	0.0
97493	2532	0.0
97493	2017	30.0
97493	1855	28.0
97493	2554	348.0
97493	2082	6.23
97493	2877	69.2
97493	2006	1.6
97493	2843	0.0
97493	3166	0.0
97493	3030	0.0
97493	3126	0.0
97493	2396	0.0
97493	1759	0.0
97493	2755	0.0
97493	2310	0.0
97493	2620	0.0
97493	2658	0.0
97493	2024	0.0
97493	2643	0.0
97493	3239	0.0
97493	1980	0.0
97493	2342	0.0
97493	1728	0.0
97493	3246	0.0
97493	2674	0.0
97493	2630	0.0
97493	3183	0.0
97493	2846	0.0
97493	3190	0.0
97493	2897	0.0
97493	2416	0.0
97493	3112	0.0
97493	1914	0.0
97493	1767	0.0
97493	2269	0.0
97493	2173	0.0
97493	1791	0.0
97493	1805	0.0
98431	3209	14750.0
98431	2426	4278.666666666667
98431	1822	155.0
98431	2438	83.0
98431	2638	43.66666666666666
98431	2626	16.0
98431	1837	17.0
98431	3142	12.333333333333334
98431	3239	23913.33333333333
98431	1813	10.0
98431	2620	463.3333333333333
98431	2310	680.0
98431	2658	296.6666666666667
98431	2024	833.3333333333334
98431	2643	2386.6666666666665
98431	2670	96.66666666666669
98431	2082	158.33333333333334
98431	2006	2.4066666666666667
98431	2877	202.66666666666663
98431	2554	207.66666666666663
98431	1855	702.0
98431	3166	1.3966666666666665
98431	2843	0.102
98431	3126	0.364
98431	1759	0.0172666666666666
98431	2017	2.466666666666667
98431	2458	0.3733333333333333
98431	2156	0.2133333333333333
98431	1903	4.193333333333333
98431	2055	0.0866666666666666
98431	2532	0.0004866666666666
98431	1805	28.666666666666668
98431	1980	72.33333333333333
98431	2342	49.0
98431	1728	123.33333333333331
98431	3246	146.66666666666666
98431	1791	2.0
98431	2173	5.0
98431	2674	55.333333333333336
98431	2630	54.66666666666666
98431	3112	2624.0
98431	3259	4.666666666666667
98431	1914	263.3333333333333
98351	3209	3920.0
98351	2438	0.0
98351	3163	0.0
98351	1911	1.8
98351	2747	63.6
98351	2643	18942.5
98351	2082	129.8
98351	2006	0.502
98351	2877	115.0
98351	2554	240.2
98351	1855	78.4
98351	3166	0.392
98351	2843	0.0874
98351	3126	0.0665
98351	1759	0.00246
98351	2113	0.0376
98351	1729	0.0098
98351	2480	0.0
98351	1999	0.04625
98351	2781	0.0001
98351	1762	7.500000000000001e-05
98351	3072	0.0
98351	2729	0.0
98351	2017	0.5
98351	2458	0.0386
98351	2156	0.1949999999999999
98351	1903	0.2004
98351	1968	0.6595
98351	2055	0.0548
98351	2863	0.0067499999999999
98351	2532	0.0001344444444444
98351	2335	15.125
98351	2748	0.0003
98351	2660	54.5
98351	3146	170.0
98351	1764	221.0
98351	1735	356.0
98351	3123	288.5
98351	1881	88.5
98351	2797	37.5
98351	2864	179.5
98351	3182	150.0
98351	2500	99.0
98351	1874	138.0
98351	3017	304.0
98351	1887	772.0
98351	2927	94.0
98351	1792	342.5
98351	2666	202.5
98351	1805	7.4
98351	1980	68.8
98351	2342	40.2
98351	1728	92.8
98351	3246	105.4
98351	1791	0.0
98351	2173	0.0
98351	2431	0.03285
97504	3033	0.0
97504	2314	5.600000109
97504	2246	7.199999673
97504	2142	0.0
97504	2228	0.0
97504	2311	0.799999986
97504	3100	0.0
97504	2719	0.0
97504	2339	0.0
97504	2404	0.0
97504	1757	0.0
97523	3097	3.2647500615
97523	2825	5.068187385
97523	1752	1.8362187065
97523	2588	2.5695312425
97523	1882	0.3993750025
97523	2909	0.098846155
97523	3033	0.0
97523	2314	0.159999996
97523	2246	0.386076931
97523	2228	0.169999997
97523	2338	0.129999995
97523	3113	0.0
97523	2472	0.159999996
97523	2915	0.0
97523	2114	0.0
97523	1768	0.0
97523	2167	0.0
97523	2423	0.0
97523	2190	0.0
97523	3100	0.0
97523	2719	0.0
97523	2339	0.0
97523	2404	0.0
97523	1757	0.1252307675
97523	2942	0.455230767
97523	2307	5.680000067
97523	2182	9.671667
97523	2355	6.548333327
97523	3210	89.456665993
97523	1830	0.078000001
97523	2329	0.017461538
97523	2372	0.006230769
97523	2094	0.000538462
98575	3033	3.12615623
98575	2314	5.738062492
98575	2246	0.8740384425
98575	2142	0.819999993
98575	2228	3.964999914
98575	2311	2.8646665615
98575	3100	0.0
98575	2719	0.0
98575	2339	0.899999976
98575	2404	0.49000001
98575	1757	1.299999952
98575	3018	4.341999888
98575	2942	0.684642862
98575	2288	0.0018
98575	2132	0.027899999
98505	3209	0.0
98505	3239	0.0
98505	1813	70.0
98505	2620	70.0
98505	2310	70.0
98505	2658	0.0
98505	2024	0.0
98505	2643	220.0
98505	2670	0.0
98505	2082	54.0
98505	2006	0.91
98505	2877	45.0
98505	2554	309.0
98505	1855	109.0
98505	3166	0.24
98505	2843	0.041
98505	3126	0.76
98505	1759	0.0006
98505	1729	0.006
98505	2480	0.0
98505	3072	0.0
98505	2729	0.0
98505	2017	0.7
98505	2458	0.023
98505	2156	0.025
98505	1903	0.44
98505	1968	0.234
98505	2055	0.123
98505	2863	0.003
98505	2335	23.7
98505	3023	0.0
98505	3016	0.0
98505	2748	0.0228
98505	2363	1.1
98058	3209	41035.85365853659
98058	2426	21940.0
98058	1822	7.0
98058	2438	228.1428571428572
98058	2638	13.5625
98058	2626	0.0
98058	1837	127.54545454545456
98058	3142	3.333333333333333
98058	2082	78.4390243902439
98058	2006	2.802073170731708
98058	2877	283.7560975609756
98058	2554	543.829268292683
98058	1855	92.86585365853658
98058	3166	2.477195121951219
98058	2843	0.9197195121951216
98058	3126	2.444414634146341
98058	2113	0.0
98058	2017	7.118292682926833
98058	2458	0.3086219512195122
98058	2156	0.2353827160493828
98058	1903	1.9860243902439023
98058	1968	0.6245243902439027
98058	2055	0.3326219512195121
98058	2863	0.0390182926829268
98058	2532	0.0
98058	2660	135.2625
98058	3146	387.7
98058	1764	446.225
98058	1735	819.5
98058	3123	452.6125
98058	1881	188.25
98058	2797	189.875
98058	2864	329.8875
98058	3182	1372.0
98058	2500	295.3625
98058	1874	540.5625
98058	3017	1270.4875
98058	1887	2505.65
98058	2927	615.275
98058	1792	515.0
98058	2666	598.85
98058	1805	0.0
98058	3239	2243.75
98058	1813	6705.151515151515
98058	2620	82.12121212121212
98058	2310	55.75757575757576
98058	2658	0.0
98058	2024	39.696969696969695
98058	3163	0.0
98058	1911	0.0
98058	2747	0.0
98058	2643	8017.555555555556
98058	2670	4.166666666666667
98058	1759	0.05519
98058	1729	0.0236590909090909
98058	2480	0.0001363636363636
98058	1999	4.318589743589744
98058	1762	0.0
98058	3072	0.0002631578947368
98058	2729	0.0
98058	2059	8.97212121212121
98058	2388	0.3872727272727272
98058	2335	41.42702702702702
98058	3016	0.0
98058	2748	0.0097837837837837
98058	2363	1.94
98058	1980	49.22
98058	2342	541.1034482758621
98058	1728	432.2241379310345
98058	3246	3334.64406779661
98058	1791	0.0
98058	2173	0.2040816326530612
98058	2098	2.25
98058	2016	7.321428571428571
98058	2177	121.64285714285714
98058	2674	0.40625
98058	2630	25.0625
98058	3112	10296.75
98058	3259	9.857142857142858
98058	1914	329.2857142857143
98058	3023	0.0
98058	1940	0.0
98058	2431	0.0067
97969	3209	246.66666666666663
97969	2438	0.0
97969	3163	0.0
97969	1911	0.0
97969	2747	0.0
97969	2643	4080.0
97969	2082	44.0
97969	2006	0.7533333333333333
97969	2877	49.0
97969	2554	258.6666666666667
97969	1855	80.66666666666667
97969	3166	0.3766666666666666
97969	2843	0.0476666666666666
97969	3126	0.2083333333333333
97969	1759	0.0015666666666666
97969	2113	0.0
97969	1729	0.475
97969	2480	0.087
97969	1999	0.51
97969	1762	0.0
97969	3072	0.0
97969	2729	0.0
97969	2017	7.7
97969	2458	0.063
97969	2156	0.0893333333333333
97969	1903	0.4933333333333333
97969	1968	0.0536666666666666
97969	2055	0.0233333333333333
97969	2863	0.0389999999999999
97969	2532	0.0
97969	2335	19.1
97969	2748	0.0181
97969	3146	112.0
97969	1764	181.66666666666663
97969	1735	277.3333333333333
97969	3123	183.66666666666663
97969	1881	23.666666666666668
97969	2797	18.0
