id	node_type
KRAFT VELVEETA Pasteurized Process Cheese Spread	food
Rennin	food
Brazil nuts	food
American Persimmon	food
Redfish	food
Common Turkish Oregano	food
Honey roll sausage	food
Oxheart cabbage	food
HEINZ	food
Vegetarian meatloaf or patties	food
Kiwi	food
Kashi H2H Woven Wheat Cracker Original	food
Grape juice	food
Arugula	food
Barley	food
Watercress	food
Cranberry sauce	food
Salad dressing	food
Shortening bread	food
Butter	food
Vanilla-icecream	food
Brotwurst	food
Pinon Nuts	food
Leek	food
Pickle relish	food
Taro shoots	food
Tortilla	food
Potato flour	food
Norway lobster	food
Swiss chard leaves [White]	food
Spaghetti with meat sauce	food
Elderberries	food
KELLOGG'S Eggo Lowfat Homestyle Waffles	food
MORNINGSTAR FARMS Tomato & Basil Pizza Burger	food
Jerusalem-artichokes	food
Margarine-like	food
Chokecherries	food
Luncheon slices	food
MORNINGSTAR FARMS Original Chik'n Tenders	food
Shallots	food
Scarlet Runner Bean	food
Vitasoy USA Nasoya	food
Citrus fruit juice drink	food
Miso	food
Bucklingpate (sweet cured herring	food
Breadnut	food
KEEBLER	food
Ascidians (tunughnak) (Alaska Native)	food
French toast	food
MORNINGSTAR FARMS Lasagna with Veggie Sausage	food
Fish sticks	food
HORMEL WRANGLER Beef Franks	food
Grapes	food
WORTHINGTON Vegetable Steaks	food
Aestivalis grape [Black]	food
KASHI Pizza	food
KRAFT BREAKSTONE'S Reduced Fat Sour Cream	food
Rowanberry	food
Shortening frying (heavy duty)	food
Bilberry	food
Common bean [Black]	food
White Mustard	food
Dried pea	food
Plaintain	food
Mango nectar	food
Jerusalem artichoke	food
Malt beverage	food
Bread-crumbs	food
Saffron	food
Liver cheese	food
Pine nuts	food
Gelatin desserts	food
Croutons	food
Horseradish	food
Fennel seed	food
Ice cream	food
Swiss roll	food
Chicory	food
Sweets	food
Frozen novelites	food
Eggnog	food
Peanut spread	food
Sugar	food
MORNINGSTAR FARMS Corn Dogs	food
Curry powder	food
Onion rings	food
Orange breakfast drink	food
Chayote	food
Pitanga	food
Crispbread	food
Corn beverage	food
Cheese substitute	food
Sausage	food
Acerola juice	food
Cranberry-grape juice drink	food
MCKEE BAKING	food
LOMA LINDA Vege-Burger	food
Lemon grass (citronella)	food
Ling	food
Soymilk (all flavors)	food
Gherkin cucumber	food
Cranberry juice cocktail	food
Common verbena	food
Corn starch	food
Alholva (Sp.)	food
Sugar-Apple	food
Puff pastry	food
Kai-lan	food
Sweet potato	food
Arrowroot flour	food
Summer Savory	food
Butter oil	food
Sapote	food
White Lupine	food
Macaroni and cheese	food
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce	food
Peanut butter with omega-3	food
Mushroom	food
Whitecurrant	food
Sweet bay	food
Flounder	food
Keikitos (muffins)	food
Sorghum flour	food
Carob-flavor beverage mix	food
Millet	food
Lupins	food
Goat milk	food
Chilchen (Red Berry Beverage) (Navajo)	food
Pokeberry shoots	food
Guavas	food
Pizza Napolitana	food
Tamarinds	food
Coconut meat	food
Date	food
Star anise	food
Soft drink	food
Mountain yam	food
"PAPA JOHN'S 14"" The Works Pizza"	food
MORNINGSTAR FARMS Bacon	food
Prickly pear	food
Butter replacement	food
Anchovy	food
Tea [Black]	food
Restaurant	food
Cucumber	food
WORTHINGTON Wham (roll)	food
Alfalfa seeds	food
Drumstick leaves	food
Fresh pea	food
Ham	food
Orange [Blond]	food
Tomato	food
Lump	food
Radicchio	food
Peaches	food
Figs	food
Raisin	food
Bisquit	food
"PIZZA HUT 14"" Cheese Pizza"	food
Rice starch	food
Lovage	food
Purslane	food
Winged bean tuber	food
"PIZZA HUT 12"" Super Supreme Pizza"	food
Cherimoya	food
WORTHINGTON Choplets	food
Protein supplement	food
Adzuki Bean	food
Dab	food
Granado (Sp.)	food
Breakfast bar	food
Lima bean	food
Ceylon Cinnamon	food
Cream yoghurt	food
Granola bar	food
Sesame seeds	food
HORMEL SPAM	food
Remoulade	food
SILK French Vanilla Creamer	food
Broadbeans	food
Saithe (UK)	food
Amaranth leaves	food
Ice creams	food
Carrots	food
SILK Blueberry soy Yogurt	food
Bamboo shoots	food
MORNINGSTAR FARMS BBQ Riblets	food
Puddings	food
SILK Hazelnut Creamer	food
KELLOGG'S Eggo Lowfat Nutri-Grain Waffles	food
Cornflakes	food
MORNINGSTAR FARMS Grillers Original	food
Broad bean seed	food
Whale	food
Corned beef and potatoes in tortilla (Apache)	food
ENSURE FIBER WITH FOS	food
Rainbow trout	food
Sunflower seeds	food
Non-alcoholic beverage (light)	food
LOMA LINDA Low Fat Big Franks	food
Vecao	food
Amaranth	food
Cream Crackers	food
Chocolate-flavored drink	food
Garfish	food
Plain cake	food
Shrimp	food
Carambola	food
Sunflower seed	food
Butterhead lettuce (US)	food
Baguette	food
Brazillian Guava	food
Crustaceans	food
Burbot	food
Snacks	food
Potato pancakes	food
New Zealand spinach	food
Ice cream sandwich	food
LOMA LINDA Linketts	food
Seeds	food
Cloudberry	food
Anise herb	food
Salami	food
Allspice	food
Olive [Green]	food
Lambsquarter	food
Vital wheat gluten	food
Endive [Escarole]	food
Yogurt parfait	food
Coffeecake	food
Biblical Mint|Hortela da Folha Miuda	food
Pate de foie gras	food
Ajonjoli (Sp.)	food
Potatoes	food
Acorn stew (Apache)	food
Yam	food
HOUSE FOODS Premium Soft Tofu	food
Rabbit	food
Ham and cheese spread	food
Sweet bisquit	food
Wine [White]	food
Tree fern	food
Chives	food
Clove	food
SILK Light Chocolate	food
Greencurrant	food
SILK Light Vanilla	food
Guanabana nectar	food
Kiwi fruit	food
Arrowhead	food
Lebanon bologna	food
Passion-fruit	food
Winged beans	food
Seaweed	food
Polish sausage	food
Pudding	food
Cloudberries	food
Seal meat	food
Kohlrabi	food
Pineapple	food
Asparagus Pea	food
Baby food	food
Fruit butters	food
Fish	food
Peppermint	food
CONTINENTAL MILLS	food
Potato puffs	food
MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger	food
Child formula	food
Kashi Original Waffle	food
Whisky	food
Soy paste	food
Chicory roots	food
Strudel	food
Caviar	food
Onion [Red]	food
KRAFT FOODS	food
Crab claws	food
Caseinate	food
USDA Commodity	food
Goose fat	food
Refried beans	food
Arrowroot	food
PILLSBURY GRANDS	food
Yeast extract	food
Roast beef spread	food
Haddock	food
Beverages	food
Rye	food
Spearmint	food
Braunschweiger (a liver sausage)	food
SILK Chai	food
Rabbiteye blueberry	food
Breakfast cereals	food
Chinese chives	food
Mother's loaf	food
Babyfood	food
Macaroni and cheese dinner with dry sauce mix	food
Jostaberry	food
Mat Bean	food
Kielbasa	food
Cereal wafer straws	food
Soy sauce	food
HORMEL Canadian Style Bacon	food
Cress	food
Edamame	food
Corn pudding	food
Scrapple	food
Blue whiting	food
Fireweed	food
Pinyon Pine	food
Cinnamon buns	food
Sugar-apples	food
Tomatoes	food
Meat extender	food
Pork sausage rice links	food
Crayfish	food
Angelica	food
Danish pastry	food
SILK Plain	food
SILK Original Creamer	food
Garden Cress	food
Beef sausage	food
Boysenberries	food
Globe artichoke	food
Lowbush blueberry	food
Squash	food
MORNINGSTAR FARMS Chik'n Nuggets	food
Formulated bar	food
Agutuk	food
Sourdock	food
Grape drink	food
Pork and turkey sausage	food
Common bean [Others]	food
Quinces	food
Lambsquarters	food
Noodles	food
Rose-apples	food
Ginger root	food
Chicken	food
Tea [Green]	food
Lotus root	food
Junket	food
Sesame seed	food
Cookies	food
Sweatbread	food
Apple [Dessert]	food
Gherkin	food
Kumquats	food
Eel	food
Pizza	food
Cornsalad	food
Tempeh	food
Ice cream cookie sandwich	food
Turkey Pot Pie	food
Soursop	food
Squirrel	food
Soy flour	food
Raspberry juice	food
Nectarine	food
Mussel	food
Macadamia nut	food
Poppy seeds	food
Focaccia	food
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product	food
Mush	food
Mussels	food
Cockles	food
Vitasoy USA Organic Nasoya	food
Broad bean pod	food
MORNINGSTAR FARMS Veggie Breakfast Sausage Links	food
Pomegranate juice	food
McDONALD'S Bacon Ranch Salad with Crispy Chicken	food
Burdock	food
Tomato products	food
WORTHINGTON FriPats	food
Beans	food
SILK Black Cherry soy Yogurt	food
Chocolate	food
Sponge cake	food
Banana	food
Octopus (Alaska Native)	food
Japanese walnut	food
Black Walnut	food
Bell Pepper	food
Oopah (tunicate)	food
Sauce gravad lax	food
Fruit gums	food
Pea	food
Pistachio nuts	food
Hazelnuts	food
MORNINGSTAR FARMS Sausage Style Recipe Crumbles	food
Cornmint	food
Peas	food
Red raspberry	food
Jellyfish	food
SILK Mocha	food
Acedera de Guinea (Sp.)	food
Cereals	food
Chervil	food
GARDENBURGER	food
Corn Salad	food
Raspberries	food
Whipped topping	food
Mangos	food
Currants	food
Cereals ready to eat	food
Yeast	food
Light Ice Cream	food
Side dishes	food
Curry	food
Stew/soup	food
USDA Commodity Food	food
Lychee	food
CARL BUDDIG. Cooked Smoked Beef Pastrami	food
Sesbania flower	food
Ben Nut	food
Eclairs	food
Macaroni and cheese loaf	food
Corn oil	food
Cape gooseberries	food
WORTHINGTON Vegetarian Burger	food
Leavening agents	food
Sugars	food
WORTHINGTON Chili	food
Strawberry juice	food
Common cabbage [Red]	food
Garland Chrysanthemum	food
Fish pudding	food
Butter Bean	food
Grape	food
MORNINGSTAR FARMS Asian Veggie Patties	food
Buckwheat groats	food
Butterbur	food
Cheese food	food
Pasta with tomato sauce	food
Mulberries	food
Liquorice	food
Human milk	food
Nutritional supplement for people with diabetes	food
Beef	food
Tomato ketchup	food
Limes	food
Vitasoy USA Azumaya	food
Carob	food
Coffee	food
Tomato paste	food
Frog legs	food
Parsnip	food
Cereal ready-to-eat	food
Garden Sorrel	food
Red huckleberry	food
Mugwort	food
Artificial Blueberry Muffin Mix	food
MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties	food
Lobster	food
Chickpea flour (besan)	food
Fox grape	food
Strawberry-flavor beverage mix	food
Margarine-like vegetable-oil spread	food
Cheesefurter	food
Poultry	food
BUTCHER BOY MEATS	food
Potato salad with egg	food
Mandarin	food
Pudding powder	food
WORTHINGTON Meatless Chicken Roll	food
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product	food
Blueberry	food
Non-alcoholic beverage	food
Orange-grapefruit juice	food
Hortela da Folha Miuda	food
Sugar pea (Snow pea	food
Grape juice cocktail	food
Tuna	food
KRAFT BREYERS LIGHT Nonfat Strawberry Yogurt (with Aspartame and Fructose Sweeteners)	food
Hearts of palm	food
Rosemary	food
Rye bread	food
Eggplant	food
Fruit flavored drink containing less than 3% fruit juice	food
Blackcurrant	food
Swede	food
Prune	food
Limeade	food
"PAPA JOHN'S 14"" Cheese Pizza"	food
Sweet cherry	food
Waterchestnuts	food
Yeast extract spread	food
Tomatillos	food
Yardlong beans	food
Potato soup	food
Chocolate-flavor beverage mix	food
Thistle oil	food
"PIZZA HUT 14"" Super Supreme Pizza"	food
Baked beans	food
Whipped cream substitute	food
Parmesan cheese topping	food
USDA Commodity pears	food
Carob flour	food
LOMA LINDA Little Links	food
Chicken roll	food
Fast foods	food
Ceylan cinnamon	food
Mortadella	food
Malanga	food
Salad	food
Spirits	food
Salsify	food
Wheat rusk	food
Bagel	food
Fruit flavored drink	food
Maracuya	food
Popcorn	food
Wild turnip tops	food
Epazote	food
Egg Mix	food
Onions	food
Kashi TLC Crackers Honey Sesame	food
Sorghum	food
Oval-leaf huckleberry	food
Sole	food
Cream	food
Milk shakes	food
Pistachio	food
CAMPBELL Soup company	food
Salmonberries	food
Cheese sauce	food
Sweet pepper [Green]	food
Ice cream cones	food
Cashew nut	food
OSCAR MAYER	food
New england brand sausage	food
Cardamom	food
Sour Cherry	food
Black Bean	food
Huckleberries	food
Rye flour	food
GREEN GIANT	food
Pomegranates	food
Swiss chard stems [White]	food
Turkey	food
Coleslaw	food
Carbonated drinks	food
Melons	food
Coriander (cilantro) leaves	food
Linseeds	food
"LITTLE CAESARS 14"" Cheese Pizza"	food
Turkey and pork sausage	food
Shortening industrial	food
Meatballs	food
Beef brisket	food
Cashew nuts	food
Opium Poppy	food
Apple	food
Cinnamon stick	food
Tamarind	food
Evergreen huckleberry	food
Celery	food
